Scenario;Level;Indicator;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Baseline situation;AF1;Economic efficiency;0.642282444807561;0.702635519182143;0.759941578452539;0.783312114435469;0.67222096101963;0.734524391154807;0.735077811820553;0.745806288665929;0.732033716033047;0.766245521513001;0.711170649883278;0.790378820430926;0.716859564828508
Baseline situation;AF2;Economic efficiency;0.736968012889611;0.74475622594735;0.810096589928836;0.780024563324957;0.721050151621379;0.778094216747088;0.784198875650643;0.646050817534803;0.701924877311814;0.806776730664884;0.797796933002922;0.807794842729279;0.775464395946426
Baseline situation;AF3;Economic efficiency;0.831287046471091;0.756760800196935;0.901499112682702;0.934439915951088;0.815283136227542;0.836717511313881;0.87708321724301;0.916592573634065;0.865102815368794;0.857508719698941;0.847646547775898;0.920406298655538;0.878390660133716
Baseline situation;AF4;Economic efficiency;0.664273737275466;0.721572381502935;0.822800008825605;0.821355208142205;0.711792219218541;0.748812143162098;0.800485997934472;0.785240222232277;0.737072210701027;0.805019440078289;0.801048108156558;0.757741124320688;0.7806798938135
Baseline situation;AF5;Economic efficiency;0.722197049762871;0.831315958663364;0.901438444370579;0.834088267349026;0.786879676821065;0.733831361829912;0.896687947062069;0.810641970407864;0.762985656714256;0.924594558832974;0.863760617261545;0.802933679420115;0.880767559400405
Baseline situation;Arable farm;Economic efficiency;0.71940165824132;0.751408177098546;0.839155146852052;0.830644013840549;0.741445228981631;0.766395924841557;0.818706769942149;0.780866374494988;0.759823855225788;0.832028994157618;0.80428457121604;0.815850953111309;0.806432414824511
Baseline situation;LF1;Economic efficiency;0.719701162156067;0.69350414816141;0.680704064714409;0.708999925616825;0.685280940374049;0.660574445927776;0.675231358285077;0.618141047589392;0.638578401160933;0.698418150704734;0.690629208870527;0.648312866536789;0.692760793662036
Baseline situation;LF2;Economic efficiency;0.691030649633699;0.687184033832827;0.659257165204712;0.673491294900041;0.646910384877885;0.646432980698761;0.633136267976323;0.610326689299724;0.603134975501033;0.685146104920577;0.641075041317846;0.62525144869458;0.667566609555511
Baseline situation;Livestock farm;Economic efficiency;0.705365905894883;0.690344090997119;0.669980614959561;0.691245610258433;0.666095662625967;0.653503713313269;0.6541838131307;0.614233868444558;0.620856688330983;0.691782127812656;0.665852125094187;0.636782157615684;0.680163701608773
Baseline situation;Territory;Economic efficiency;0.715391443285195;0.733961295355281;0.79081956631134;0.790815898531373;0.719916781451441;0.734141007262046;0.771700210853164;0.733257087052008;0.720118950398701;0.7919584609162;0.764732443752653;0.764688440112559;0.770355639620015
Baseline situation;AF1;Gross margin(€/ha);756.841228512758;676.671424464267;1356.98827294807;1287.93725620684;901.964662796909;842.559055654845;1508.73268293735;1149.91061882175;1499.03828667344;1180.91528352776;1193.04159689523;1220.90373308446;1299.53374859874
Baseline situation;AF2;Gross margin(€/ha);740.502076672885;847.305627755245;1196.16735104435;1219.11716455516;703.550947989501;1103.76401531768;1375.90754882965;672.428852456154;905.937795530532;1456.84897009157;1216.24883007288;1388.74882002384;1121.08005199441
Baseline situation;AF3;Gross margin(€/ha);995.440516579169;758.561837711108;2025.36204101182;3096.05981865521;1128.68078597388;1063.65324669243;2052.68921941875;3506.16589935834;1848.04450724647;1395.86151319916;1616.42777051751;2362.58938839519;1828.33283290643
Baseline situation;AF4;Gross margin(€/ha);458.831722328569;692.722651179908;1233.4051655141;1464.47700304281;622.086657694701;853.813360404467;1439.08219968711;1294.59168326601;955.663951604815;1377.33873368146;1026.37362086259;1015.22721087391;1040.43037997235
Baseline situation;AF5;Gross margin(€/ha);643.143988591535;1154.37800356175;2102.04932694963;1579.65465780977;943.402970732446;809.378360270562;2834.03190686096;1570.95841759433;1220.93218806761;2809.04903543977;1746.83755420981;1259.84111364181;2017.40725430748
Baseline situation;Arable farm;Gross margin(€/ha);718.951906536983;825.927908934455;1582.79443149359;1729.44918005396;859.937205037486;934.633607667997;1842.08871154676;1638.81109429931;1285.92334582457;1644.00270718795;1359.7858745116;1449.46205320384;1461.35685355588
Baseline situation;LF1;Gross margin(€/ha);3146.95773239375;3553.59297343864;2614.42070147227;3744.92737018166;2062.64380728126;3088.79062196527;3123.97246873031;2603.42640284928;2820.84534094341;3963.83599354071;2550.47544972051;2863.59197768394;2779.95698917873
Baseline situation;LF2;Gross margin(€/ha);3060.9098888983;3388.71802820431;3473.91999636456;4505.47355070281;2999.52895760166;3586.92519812184;3809.67876062878;3955.3299370077;3518.46839689215;4841.07337585981;3468.74784898383;3473.62343743858;3928.48426973743
Baseline situation;Livestock farm;Gross margin(€/ha);3103.93381064602;3471.15550082148;3044.17034891842;4125.20046044223;2531.08638244146;3337.85791004355;3466.82561467955;3279.37816992849;3169.65686891778;4402.45468470026;3009.61164935217;3168.60770756126;3354.22062945808
Baseline situation;Territory;Gross margin(€/ha);1400.375307711;1581.70722090218;2000.33040790069;2413.94954587918;1337.40839858148;1621.26912263244;2306.29925529899;2107.54454447908;1824.13292385121;2432.13184362004;1831.16466732319;1940.64652587739;2002.17507524222
Coexistence scenario;AF1;Economic efficiency;0.642282444807561;0.702635519182143;0.759941578452539;0.783312114435469;0.67222096101963;0.734524391154807;0.735077811820553;0.745806288665929;0.732033716033047;0.766245521513001;0.711170649883278;0.790378820430926;0.716859564828508
Coexistence scenario;AF2;Economic efficiency;0.736968012889611;0.74475622594735;0.810096589928836;0.780024563324957;0.721050151621379;0.778094216747088;0.784198875650643;0.646050817534803;0.701924877311814;0.806776730664884;0.797796933002922;0.807794842729279;0.775464395946426
Coexistence scenario;AF3;Economic efficiency;0.831287046471091;0.756760800196935;0.901499112682702;0.934439915951088;0.815283136227542;0.836717511313881;0.87708321724301;0.916592573634065;0.865102815368794;0.857508719698941;0.847646547775898;0.920406298655538;0.878390660133716
Coexistence scenario;AF4;Economic efficiency;0.664273737275466;0.721572381502935;0.822800008825605;0.821355208142205;0.711792219218541;0.748812143162098;0.800485997934472;0.785240222232277;0.737072210701027;0.805019440078289;0.801048108156558;0.757741124320688;0.7806798938135
Coexistence scenario;AF5;Economic efficiency;0.722197049762871;0.831315958663364;0.901438444370579;0.834088267349026;0.786879676821065;0.733831361829912;0.896687947062069;0.810641970407864;0.762985656714256;0.924594558832974;0.863760617261545;0.802933679420115;0.880767559400405
Coexistence scenario;Arable farm;Economic efficiency;0.71940165824132;0.751408177098546;0.839155146852052;0.830644013840549;0.741445228981631;0.766395924841557;0.818706769942149;0.780866374494988;0.759823855225788;0.832028994157618;0.80428457121604;0.815850953111309;0.806432414824511
Coexistence scenario;LF1;Economic efficiency;0.755984467179222;0.729206093219458;0.702850534377572;0.735021418754485;0.729484361661294;0.703517354500126;0.701427128863854;0.657180930107902;0.684849334385545;0.743315445390445;0.737338021010717;0.698795009437161;0.734120344039873
Coexistence scenario;LF2;Economic efficiency;0.692541751840232;0.693073929775052;0.686156427430422;0.700393128498621;0.661761320708399;0.669016092401155;0.663450483490377;0.65489063628731;0.639315157194984;0.70390817142358;0.660080095485594;0.63951122510573;0.679162027154207
Coexistence scenario;Livestock farm;Economic efficiency;0.724263109509727;0.711140011497255;0.694503480903997;0.717707273626553;0.695622841184846;0.68626672345064;0.682438806177116;0.656035783197606;0.662082245790264;0.723611808407013;0.698709058248155;0.669153117271446;0.70664118559704
Coexistence scenario;Territory;Economic efficiency;0.720790644318008;0.739902986926748;0.797826099438322;0.798376373779407;0.72835311818255;0.743501867301295;0.779773066009283;0.745200491267164;0.731897681101352;0.801052655371731;0.774120138939502;0.773937285728491;0.777920635045234
Coexistence scenario;AF1;Energy yield (MjKgDM/ha);180.44667110064;126.205199733333;167.144071430667;136.247078666667;178.196613631907;125.357102933333;169.8525695702;133.486336;176.456069631907;130.721409333333;167.81530463728;131.745792;180.385004435627
Coexistence scenario;AF2;Energy yield (MjKgDM/ha);124.722828457143;138.4069292;148.4474832;125.053962171429;134.868849142857;117.356418285714;129.32886256;75.77993856;137.836580266667;164.34454936;136.1615856;144.7534296;125.81572512
Coexistence scenario;AF3;Energy yield (MjKgDM/ha);109.2776597;128.3445138;127.8208862;106.9301742;136.4670699;119.2055072;107.2730007;131.7299974;127.70543395;107.4931314;133.5462718;118.0109752;113.3381271
Coexistence scenario;AF4;Energy yield (MjKgDM/ha);116.285026510194;134.2819660676;234.11374488004;150.64961504422;127.435967978606;128.88049008375;250.72664903211;141.86036355931;136.48005427456;178.76513549089;145.026597162171;132.32384560023;190.78652884814
Coexistence scenario;AF5;Energy yield (MjKgDM/ha);119.089703377778;111.6142668;111.761246315789;128.619815494737;130.441788628571;110.87298752;114.304984894118;127.949476517647;136.92826176;103.557138;127.870791410526;134.50246224;115.232689094737
Coexistence scenario;Arable farm;Energy yield (MjKgDM/ha);129.964377829151;127.770575120187;157.857486405299;129.50012911541;141.482057856388;120.33450120456;154.297213351286;122.161222407391;143.081279976627;136.976272716845;142.084110121996;132.267300928046;145.111614919701
Coexistence scenario;LF1;Energy yield (MjKgDM/ha);153.251400148693;249.329221050382;179.392180438634;277.726320790982;175.385660551072;221.19107521984;306.872299464812;232.115042757394;144.440376604387;269.701500866368;210.3186458506;200.425353312436;146.20532931424
Coexistence scenario;LF2;Energy yield (MjKgDM/ha);136.066065762444;155.686354430989;205.7466335104;181.128582437524;146.039714308495;136.035644059798;193.653972105636;182.233782020884;141.489239513382;207.145423845255;153.4921276068;112.680868291899;188.858766546698
