Scenario;Year;Farm;Parcel;Crop;Yield (ton/ha);Area (ha);Revenue (€/ha);Variable cost (€/ha);Energy (MjKgDM/ha);Protein (kg N/ha);PDIN (kg N/ha);Protein (N/ton/ha);Nitrogen (kg/ha);Phosphorus (kg/ha);Potassium (kg/ha);Dose of active ingredient(L/ha)
Baseline situation;2005;AF1;101_00;WheatW;7.48;2.18;861.279111633924;272.8;138.3297344;2657.9432;807.84;1219.24;127.619732571429;8.92857142857143;7.14285714285714;3.27585714285714
Baseline situation;2005;AF1;102_00;WheatW;7.48;1.51;861.279111633924;272.8;138.3297344;1841.0524;807.84;1219.24;143.7651305;0;0;3.233
Baseline situation;2005;AF1;103_00;WheatW;7.48;5.65;861.279111633924;272.8;138.3297344;6888.706;807.84;1219.24;140.7651305;0;0;2.3917
Baseline situation;2005;AF1;104_00;Fodder;7.46;4.36;285.5688;44;142.1735752;3903.072;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;104_00;gMaize;10.71;4.36;1267.88511163392;246.4;199.407348;4155.9084;738.99;953.19;85.16446625;211.25280625;158.64348625;0.670166666666667
Baseline situation;2005;AF1;104_01;Fodder;7.46;5.7;285.5688;44;142.1735752;5102.64;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;104_01;gMaize;10.71;5.7;1267.88511163392;246.4;199.407348;5433.183;738.99;953.19;85.16446625;211.25280625;158.64348625;0.670166666666667
Baseline situation;2005;AF1;105_00;OSR;5.2;0.82;1345.29751163392;264;150.992192;861.328;660.4;1050.4;76;112.5;90;3.28333333333333
Baseline situation;2005;AF1;106_00;Fodder;7.46;1.8;285.5688;44;142.1735752;1611.36;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;106_00;sMaize;16.92;1.8;1251.74104930714;246.4;313.01999160768;2558.304;879.84;1421.28;102.6;257.2;180;0.871
Baseline situation;2005;AF1;1060_00;WheatW;7.48;0.72;861.279111633924;272.8;138.3297344;877.8528;807.84;1219.24;140.7651305;0;0;2.3917
Baseline situation;2005;AF1;1061_00;Fodder;7.46;0.09;285.5688;44;142.1735752;80.568;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;1061_00;gMaize;10.71;0.09;1267.88511163392;246.4;199.407348;85.7871;738.99;953.19;85.16446625;211.25280625;158.64348625;0.670166666666667
Baseline situation;2005;AF1;107_00;OSR;5.2;2.83;1345.29751163392;264;150.992192;2972.632;660.4;1050.4;76;112.5;90;3.28333333333333
Baseline situation;2005;AF1;108_00;Fodder;7.46;1.69;285.5688;44;142.1735752;1512.888;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;108_00;gMaize;10.71;1.69;1267.88511163392;246.4;199.407348;1610.8911;738.99;953.19;102.6;257.2;180;0.871
Baseline situation;2005;AF1;109_00;Fodder;7.46;15.51;285.5688;44;142.1735752;13884.552;787.03;895.2;0;0;0;NA
Baseline situation;2005;AF1;109_00;gMaize;10.71;15.51;1267.88511163392;246.4;199.407348;14783.9769;738.99;953.19;85.16446625;211.25280625;158.64348625;0.670166666666667
Baseline situation;2005;AF2;201_00;Hay;5;9.75;342.906311633924;44;90.4190711733334;3900;395;400;0;0;0;NA
Baseline situation;2005;AF2;2010_00;Hay;5;2.53;342.906311633924;44;90.4190711733333;1012;395;400;0;0;0;NA
Baseline situation;2005;AF2;2011_00;WheatW;7.04;2.93;823.280711633924;272.8;130.1926912;3362.2336;760.32;1147.52;163.8442875;49.149375;40.213125;6.154875
Baseline situation;2005;AF2;2012_00;WheatW;7.04;5.59;823.280711633924;272.8;130.1926912;6414.6368;760.32;1147.52;163.8442875;49.149375;40.213125;6.154875
Baseline situation;2005;AF2;2013_00;WheatW;7.04;6.22;823.280711633924;272.8;130.1926912;7137.5744;760.32;1147.52;163.8442875;49.149375;40.213125;6.154875
Baseline situation;2005;AF2;2014_00;OSR;5.2;8.08;1345.29751163392;264;150.992192;8487.232;660.4;1050.4;158.57836;59.034;53.946;3.9606
Baseline situation;2005;AF2;2015_00;Hay;5;4.79;342.906311633924;44;90.4190711733333;1916;395;400;0;0;0;NA
Baseline situation;2005;AF2;2016_00;Hay;5;4.75;342.906311633924;44;90.4190711733333;1900;395;400;0;0;0;NA
Baseline situation;2005;AF2;2017_00;Hay;5;3.64;342.906311633924;44;90.4190711733333;1456;395;400;0;0;0;NA
Baseline situation;2005;AF2;2018_00;Hay;5;8.16;342.906311633924;44;90.4190711733333;3264;395;400;0;0;0;NA
Baseline situation;2005;AF2;202_00;Hay;5;2.34;342.906311633924;44;90.4190711733334;936;395;400;0;0;0;NA
Baseline situation;2005;AF2;2020_00;Hay;5;2.28;342.906311633924;44;90.4190711733333;912;395;400;0;0;0;NA
