Group;Variable;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Animal feed costs (€/ton);Cake_Soja;210.24;204.84;235.44;301.68;299.52;298.8;303.12;386.64;405.72;390.6;360;339.84;325.44
Animal feed costs (€/ton);FavaB;173.28;171.6;171.12;188.4;194.88;192;197.04;207.36;234.24;248.64;240;239.76;239.76
Animal feed costs (€/ton);Fodder;70.18;68.97;93.83;134.86;88.44;95.04;126.83;132.11;149.05;128.59;110;112.97;114.51
Animal feed costs (€/ton);Gpea;120.08;134.14;217.74;220.59;156.56;185.06;235.6;267.52;231.23;212.99;190;181.64;172.14
Animal feed costs (€/ton);Hay;45.6;45.84;51.48;59.1;50.22;48.6;59.28;62.58;66.66;61.62;60;57.48;56.7
Animal feed costs (€/ton);Lupin;223.82;221.65;221.03;243.35;251.72;248;254.51;267.84;302.56;321.16;310;309.69;309.69
Animal feed costs (€/ton);Mix_CerG;94.4;110.56;180.96;180.16;115.04;145.44;204;227.52;210.24;165.44;160;147.36;152.96
Animal feed costs (€/ton);sMaize;83.72;96.6;137.885;127.19;94.99;120.405;159.045;167.095;150.305;117.53;115;114.77;116.495
Animal feed costs (€/ton);vl3L;283.6;283.2;298.8;374.8;363.6;352;377.2;385.2;392;395.2;400;400.8;411.6
Animal feed costs (€/ton);WheatW;83.82;90.255;144.54;176.715;98.835;102.96;162.195;148.17;135.96;163.515;165;126.06;116.655
Crop price (€/ton);bletI;86.36;92.99;148.92;182.07;101.83;106.08;167.11;152.66;140.08;168.47;170;157;160
Crop price (€/ton);bletILeg;86.36;92.99;148.92;182.07;101.83;106.08;167.11;152.66;140.08;168.47;170;157;160
Crop price (€/ton);colza;217.306;260.266;330.792;414.922;276.018;376.258;462.536;514.446;402.75;338.668;358;380;356
Crop price (€/ton);couvAvI;38.28;37.62;51.18;73.56;48.24;51.84;69.18;72.06;81.3;70.14;60;60;60
Crop price (€/ton);couvMetF;38.28;37.62;51.18;73.56;48.24;51.84;69.18;72.06;81.3;70.14;60;60;60
Crop price (€/ton);couvMetTritF;38.28;37.62;51.18;73.56;48.24;51.84;69.18;72.06;81.3;70.14;60;60;60
Crop price (€/ton);couvP;38.28;37.62;51.18;73.56;48.24;51.84;69.18;72.06;81.3;70.14;60;60;60
Crop price (€/ton);CouvRg;38.28;37.62;51.18;73.56;48.24;51.84;69.18;72.06;81.3;70.14;60;60;60
Crop price (€/ton);favab;252.7;250.25;249.55;274.75;284.2;280;287.35;302.4;341.6;362.6;350;350;350
Crop price (€/ton);fmais;63.8;62.7;85.3;122.6;80.4;86.4;115.3;120.1;135.5;116.9;100;100;100
Crop price (€/ton);gmais;98.28;113.4;161.865;149.31;111.51;141.345;186.705;196.155;176.445;137.97;135;142;154
Crop price (€/ton);hemp;716.1;846.615;1315.545;1310.925;859.32;1089.165;1471.47;1558.095;1411.41;1206.975;1155;1155;1155
