Scenario;Level;Year;Indicator;Value
Baseline situation;AF1;2005;Economic efficiency;0.642282444807561
Baseline situation;AF2;2005;Economic efficiency;0.736968012889611
Baseline situation;AF3;2005;Economic efficiency;0.8312870464710909
Baseline situation;AF4;2005;Economic efficiency;0.6642737372754661
Baseline situation;AF5;2005;Economic efficiency;0.7221970497628709
Baseline situation;Arable farm;2005;Economic efficiency;0.71940165824132
Baseline situation;LF1;2005;Economic efficiency;0.719701162156067
Baseline situation;LF2;2005;Economic efficiency;0.6910306496336989
Baseline situation;Livestock farm;2005;Economic efficiency;0.705365905894883
Baseline situation;Territory;2005;Economic efficiency;0.7153914432851949
Baseline situation;AF1;2005;Gross margin(/ha);756.841228512758
Baseline situation;AF2;2005;Gross margin(/ha);740.502076672885
Baseline situation;AF3;2005;Gross margin(/ha);995.440516579169
Baseline situation;AF4;2005;Gross margin(/ha);458.831722328569
Baseline situation;AF5;2005;Gross margin(/ha);643.143988591535
Baseline situation;Arable farm;2005;Gross margin(/ha);718.9519065369831
Baseline situation;LF1;2005;Gross margin(/ha);3146.95773239375
Baseline situation;LF2;2005;Gross margin(/ha);3060.9098888983003
Baseline situation;Livestock farm;2005;Gross margin(/ha);3103.93381064602
Baseline situation;Territory;2005;Gross margin(/ha);1400.375307711
Coexistence scenario;AF1;2005;Economic efficiency;0.642282444807561
Coexistence scenario;AF2;2005;Economic efficiency;0.736968012889611
Coexistence scenario;AF3;2005;Economic efficiency;0.8312870464710909
Coexistence scenario;AF4;2005;Economic efficiency;0.6642737372754661
Coexistence scenario;AF5;2005;Economic efficiency;0.7221970497628709
Coexistence scenario;Arable farm;2005;Economic efficiency;0.71940165824132
Coexistence scenario;LF1;2005;Economic efficiency;0.7559844671792221
Coexistence scenario;LF2;2005;Economic efficiency;0.692541751840232
Coexistence scenario;Livestock farm;2005;Economic efficiency;0.724263109509727
Coexistence scenario;Territory;2005;Economic efficiency;0.720790644318008
Coexistence scenario;AF1;2005;Energy yield (MjKgDM/ha);180.44667110064
Coexistence scenario;AF2;2005;Energy yield (MjKgDM/ha);124.722828457143
Coexistence scenario;AF3;2005;Energy yield (MjKgDM/ha);109.2776597
